Age,Gender,MaritalStatus,Occupation,IncomeLevel,Education,Location,FamilySize,DrivingScore,ClaimHistory,VehicleType,VehicleAge,AnnualMileage,PreviousPolicy,RiskAppetite,CoverageAmount,PremiumBudget,TenurePreference,AddonsInterested,RecommendedProduct
31,Female,Married,Self-Employed,Medium,Postgraduate,Urban,2,73,No,Commercial,1,45828,Comprehensive,Medium,300000,10000,1,Roadside Assistance,Own Damage + Add-ons
58,Female,Single,Retired,High,Doctorate,Urban,4,65,No,Bike,10,40355,Comprehensive,Low,500000,15000,3,Engine Protection,Third-Party
48,Male,Married,Student,High,High School,Metro,4,93,No,SUV,17,15556,Own Damage,Medium,100000,15000,5,Engine Protection,Third-Party
41,Male,Single,Student,High,Postgraduate,Metro,1,57,Yes,Commercial,13,40155,Comprehensive,Medium,100000,30000,3,NCB Protection,Third-Party
69,Female,Single,Self-Employed,Medium,Postgraduate,Metro,5,73,No,Commercial,12,9080,Comprehensive,Medium,1000000,25000,1,Engine Protection,Third-Party
27,Female,Married,Retired,High,Graduate,Metro,2,77,No,Car,4,36432,Comprehensive,High,1000000,20000,5,Zero Depreciation,Third-Party
59,Female,Married,Self-Employed,Low,Postgraduate,Rural,1,64,Yes,SUV,10,34983,Comprehensive,High,1000000,5000,5,Zero Depreciation,Third-Party
60,Male,Married,Salaried,Medium,Doctorate,Urban,3,91,Yes,SUV,12,9284,Own Damage,Medium,300000,15000,5,NCB Protection,Third-Party
35,Male,Married,Salaried,Low,Graduate,Urban,1,90,No,SUV,15,13698,Own Damage,Medium,500000,10000,1,Engine Protection,Third-Party
20,Male,Married,Salaried,High,Postgraduate,Rural,5,73,No,Commercial,8,24180,Own Damage,Medium,1000000,15000,1,NCB Protection,Own Damage + Add-ons
29,Male,Married,Self-Employed,Low,Postgraduate,Rural,3,99,No,SUV,3,39939,Comprehensive,Medium,500000,10000,5,Zero Depreciation,Comprehensive
52,Male,Single,Self-Employed,Low,Doctorate,Rural,4,89,No,Car,3,7076,Own Damage,High,500000,20000,1,Engine Protection,Comprehensive
61,Male,Single,Self-Employed,Medium,High School,Rural,1,87,No,Car,10,18594,Third-Party,High,1000000,15000,5,Roadside Assistance,Third-Party
40,Female,Single,Student,Medium,High School,Rural,5,84,No,SUV,5,17596,Own Damage,High,500000,5000,3,NCB Protection,Own Damage + Add-ons
39,Male,Single,Student,Medium,High School,Metro,1,54,No,SUV,18,13462,Own Damage,High,100000,5000,5,Zero Depreciation,Third-Party
28,Male,Single,Retired,High,Graduate,Rural,5,41,No,Commercial,19,22759,Own Damage,Low,500000,15000,1,Zero Depreciation,Third-Party
63,Female,Married,Self-Employed,Medium,High School,Metro,1,62,No,Car,8,45961,Comprehensive,Low,500000,30000,5,Roadside Assistance,Third-Party
66,Female,Single,Salaried,Medium,High School,Rural,5,84,Yes,Bike,0,35990,Comprehensive,High,100000,15000,5,NCB Protection,Comprehensive
40,Male,Single,Salaried,Low,Graduate,Rural,4,45,Yes,SUV,18,34867,Own Damage,Low,100000,5000,3,None,Third-Party
29,Female,Married,Self-Employed,Low,Postgraduate,Metro,5,78,No,SUV,8,24115,Comprehensive,Medium,200000,20000,1,None,Own Damage + Add-ons
46,Male,Single,Retired,Low,Graduate,Rural,2,58,No,Commercial,11,43154,Third-Party,Low,200000,25000,5,Zero Depreciation,Third-Party
42,Female,Single,Salaried,Medium,High School,Rural,1,73,Yes,Car,6,35146,Third-Party,High,1000000,15000,1,None,Third-Party
41,Female,Single,Retired,Medium,Graduate,Rural,3,76,No,SUV,10,35559,Own Damage,High,300000,15000,1,Zero Depreciation,Third-Party
21,Male,Married,Self-Employed,High,Graduate,Rural,3,98,No,Commercial,1,43323,Third-Party,Medium,500000,5000,1,None,Comprehensive
54,Male,Single,Student,Low,High School,Rural,3,97,Yes,SUV,10,44235,Own Damage,High,500000,5000,3,Zero Depreciation,Third-Party
46,Male,Single,Salaried,High,Postgraduate,Metro,5,85,No,Commercial,4,26148,Third-Party,High,300000,5000,1,Engine Protection,Comprehensive
